"","Ck","sweet","salt","sour","bitter","umami","JI"
"1",2,2.96,3.64,3.45,1.61,2.77,0.954
"2",2,1.63,1.59,1.71,1.09,1.42,0.958
"3",3,2.18,2.92,2.63,3.04,1.98,0.787
"4",3,1.53,1.35,1.59,0.66,1.31,0.887
"5",3,3.13,3.65,3.5,0.86,2.94,0.836
"6",4,2.19,2.56,2.73,0.28,2.26,0.88
"7",4,2.01,2.75,2.52,2.97,1.95,0.88
"8",4,3.61,4.2,3.95,1.55,3.23,0.875
"9",4,1.43,1.01,1.1,0.85,0.92,0.925
"10",5,3.44,4.36,4.06,1.42,3.38,0.811
"11",5,2.13,2.22,2.06,0.94,3.52,0.691
"12",5,2.31,2.89,2.65,3.07,1.56,0.791
"13",5,1.33,0.92,1.06,0.85,0.82,0.889
"14",5,2.22,2.6,2.94,0.33,1.41,0.731
"15",6,1.36,0.88,1.04,0.72,0.84,0.892
"16",6,1.98,2.06,1.97,1.17,3.51,0.636
"17",6,2.19,2.64,3.02,0.35,1.54,0.746
"18",6,3.49,4.14,3.75,0.68,3.61,0.742
"19",6,3.17,3.94,3.91,3.06,2.57,0.695
"20",6,1.95,2.64,2.12,2.88,1,0.721
"21",7,2.16,2.58,1.98,3.05,0.7,0.666
"22",7,3.41,4.18,3.88,0.75,3.82,0.7
"23",7,3.54,4.22,3.98,2.63,2.2,0.542
"24",7,2.33,2.06,1.83,0.52,3.56,0.584
"25",7,2.2,2.57,2.95,0.3,1.46,0.627
"26",7,1.62,2.64,2.78,2.68,2.88,0.568
"27",7,1.31,0.89,1.02,0.77,0.81,0.806
"28",8,3.71,2.79,2.45,0.74,2.38,0.483
"29",8,1.34,0.9,1.02,0.74,0.8,0.753
"30",8,1.89,1.75,1.86,0.39,3.64,0.561
"31",8,2.14,2.57,1.98,3.07,0.67,0.718
"32",8,1.65,2.59,2.74,2.78,2.91,0.679
"33",8,3.53,4.34,4.08,2.97,2.5,0.615
"34",8,1.67,2.66,3.09,0.42,1.42,0.633
"35",8,3.32,4.26,3.98,0.64,3.6,0.69
"36",9,0.48,1.13,1.43,2.65,0.65,0.522
"37",9,3.21,4.36,3.89,0.79,3.85,0.686
"38",9,1.69,2.02,1.86,0.27,3.06,0.566
"39",9,3.81,2.76,2.74,0.55,2.4,0.547
"40",9,1.67,2.87,3.57,0.54,1.33,0.504
"41",9,1.8,2.57,2.61,2.76,2.98,0.734
"42",9,3.61,4.33,4.06,3,2.42,0.615
"43",9,1.61,0.94,1.14,0.37,0.82,0.682
"44",9,2.51,2.76,2,2.89,0.7,0.69
"45",10,3.53,4.5,3.97,0.89,4.11,0.706
"46",10,3.77,2.81,2.77,0.53,2.33,0.583
"47",10,2.03,3.64,3.97,1,1.79,0.481
"48",10,1.55,0.85,0.77,0.42,0.97,0.709
"49",10,1.63,1.94,2.61,0.33,1.2,0.551
"50",10,1.82,2.47,2.59,2.78,2.94,0.705
"51",10,3.76,4.55,3.97,3.17,2.45,0.59
"52",10,1.84,2.11,2.08,0.24,3.7,0.6
"53",10,0.45,1.18,1.5,2.68,0.64,0.589
"54",10,2.5,2.81,2,2.89,0.67,0.667
